prefill_chunk_size,kv_cache_size,batch_size,is_prefill,mean_ns,p50_ns,p90_ns,max_ns
0,608,15,False,287930,287750,306190,309800
0,608,16,False,293490,291010,314780,327090
0,608,17,False,289103,285870,305940,322890
0,608,18,False,289197,289470,309370,313350
0,608,19,False,289238,288740,307280,314960
0,608,20,False,290962,290810,309440,326760
0,608,21,False,289335,292050,304820,306730
0,608,22,False,310987,307050,335620,344930
0,608,23,False,308449,307720,330140,337220
0,608,24,False,308968,307710,332040,340880
0,608,25,False,311064,306890,332140,334620
0,608,26,False,304929,296390,332380,342460
0,608,27,False,303679,301610,317630,334970
0,608,28,False,311480,312200,324910,329190
0,608,29,False,310168,308020,336490,365260
0,608,30,False,307030,303720,335160,364360
0,608,31,False,300160,297360,328720,330700
0,608,32,False,303813,302490,332690,338850
0,640,1,False,316855,314520,331040,395750
0,640,2,False,319470,311070,330360,447170
0,640,3,False,305997,309710,327480,335180
0,640,4,False,299701,300210,317570,323610
0,640,5,False,303205,301310,319560,353200
0,640,6,False,296764,297120,313460,320010
0,640,7,False,297644,299650,314640,317150
0,640,8,False,298570,293140,318850,331510
0,640,9,False,295466,295600,313000,314730
0,640,10,False,294013,290160,313580,318110
0,640,11,False,296710,293110,317490,327020
0,640,12,False,298798,297510,323380,330070
0,640,13,False,294471,291260,315190,326010
0,640,14,False,293067,290780,316510,319880
0,640,15,False,296750,289580,316850,344130
0,640,16,False,303024,303380,313700,319170
0,640,17,False,294503,296990,313940,322880
0,640,18,False,292865,288390,314070,328500
0,640,19,False,291766,286880,313440,326330
0,640,20,False,296749,291790,321580,324920
0,640,21,False,296500,291850,320910,327410
0,640,22,False,294282,292880,317280,331870
0,640,23,False,292722,293060,310070,315020
0,640,24,False,292001,291390,313690,327640
0,640,25,False,291461,286140,318420,322620
0,640,26,False,294176,296310,315200,328280
0,640,27,False,291467,288800,321680,336410
0,640,28,False,292522,294000,309190,316990
0,640,29,False,288338,284870,306760,324960
0,640,30,False,292662,292960,318020,326390
0,640,31,False,289164,291120,302400,308460
0,640,32,False,291732,288780,313720,325000
0,672,1,False,299644,296380,316860,344850
0,672,2,False,297113,296510,315020,324360
0,672,3,False,300911,299620,317690,330450
0,672,4,False,296221,297130,313530,316890
0,672,5,False,298077,296420,315160,328230
0,672,6,False,296977,296750,314321,315920
0,672,7,False,294544,291600,313700,335890
0,672,8,False,297508,294730,315180,318970
0,672,9,False,297229,291960,314420,331910
0,672,10,False,297293,297000,312960,319810
0,672,11,False,297127,293080,315780,323950
0,672,12,False,294992,299040,306300,310760
0,672,13,False,295644,292900,309690,316920
0,672,14,False,297880,300120,309960,316010
0,672,15,False,296919,295130,314740,326800
0,672,16,False,294587,295820,308300,321230
0,672,17,False,294990,298630,312260,323070
0,672,18,False,295178,298570,310670,314090
0,672,19,False,297666,297510,319620,322810
0,672,20,False,298235,298730,333750,334940
0,672,21,False,292074,293410,308280,339360
0,672,22,False,294420,296210,311710,326980
0,672,23,False,293549,292120,312360,327410
0,672,24,False,291655,293000,315590,316930
0,672,25,False,297348,298610,309690,329700
0,672,26,False,295793,292320,316790,340800
0,672,27,False,295915,295100,319170,329280
0,672,28,False,294722,291270,312770,321620
0,672,29,False,297776,295120,328630,337300
0,672,30,False,294625,290700,327200,328330
0,672,31,False,292778,294290,313870,329820
0,672,32,False,307586,299600,325770,643200
0,704,1,False,305310,296020,327850,402010
0,704,2,False,299617,293480,316450,353360
0,704,3,False,298812,299790,314400,335250
0,704,4,False,299769,291540,323150,340580
0,704,5,False,302627,304780,315190,338720
0,704,6,False,300898,300720,317250,331580
0,704,7,False,299614,299680,314370,324150
0,704,8,False,301374,298100,323530,333060
0,704,9,False,301019,299440,317180,328310
0,704,10,False,301231,294219,321800,353590
0,704,11,False,297179,297630,315830,327019
0,704,12,False,300538,295540,321180,325550
